Census Tract,GEOID,Median HH Income,Year,Total Population,Total Households,Median age ,Average HH size,BS Degree and above,White ,Black or African American ,American Indian and Alaska Native ,Asian ,Native Hawaiian and Other Pacific Islander ,Some other race,Two or more races,Hispanic or Latino
"Census Tract 9703, Apache County, Arizona",4001970300,31731,1,3965,1208,39,2.71,308,2806,48,363,0,10,537,201,3965
"Census Tract 9705.01, Apache County, Arizona",4001970501,46146,1,5098,1480,28.9,3.44,397,4554,21,348,0,0,61,114,5098
"Census Tract 9705.02, Apache County, Arizona",4001970502,43698,1,3704,1507,50.6,2.44,659,3113,6,464,29,2,0,90,3704
"Census Tract 9800, La Paz County, Arizona",4012980000,,1,0,0,,,0,0,0,0,0,0,0,0,0
"Census Tract 9800.03, Yuma County, Arizona",4027980003,,1,0,0,,,0,0,0,0,0,0,0,0,0
"Census Tract 9800.04, Yuma County, Arizona",4027980004,,1,0,0,,,0,0,0,0,0,0,0,0,0
"Census Tract 9800.05, Yuma County, Arizona",4027980005,,1,815,0,29.7,,41,501,85,57,0,0,169,3,815
"Census Tract 9800.06, Yuma County, Arizona",4027980006,40379,1,4431,850,22.1,2.95,147,2945,488,45,99,18,568,268,4431
"Census Tract 9801, Maricopa County, Arizona",4013980100,,1,0,0,,,0,0,0,0,0,0,0,0,0
"Census Tract 9804, Maricopa County, Arizona",4013980400,,1,11,0,29.7,,4,6,3,0,2,0,0,0,11
"Census Tract 9805, Maricopa County, Arizona",4013980500,,1,69,24,37.4,2.88,0,31,0,0,0,0,38,0,69
"Census Tract 9806, Maricopa County, Arizona",4013980600,,1,0,0,,,0,0,0,0,0,0,0,0,0
"Census Tract 9807, Maricopa County, Arizona",4013980700,,1,0,0,,,0,0,0,0,0,0,0,0,0
