Census Tract,GEOID,Median HH Income,Year,Total Population,Total Households,Median age ,Average HH size,BS Degree and above,White ,Black or African American ,American Indian and Alaska Native ,Asian ,Native Hawaiian and Other Pacific Islander ,Some other race,Two or more races,Hispanic or Latino
"Census Tract 6193, Maricopa County, Arizona",4013619300,37955,1,4106,1686,37.1,2.44,681,3724,21,0,184,0,144,33,4106
"Census Tract 6194, Maricopa County, Arizona",4013619400,42264,1,4520,1918,31,2.36,682,3663,75,176,176,0,296,134,4520
"Census Tract 6195, Maricopa County, Arizona",4013619500,60943,1,5977,2103,34.8,2.84,1002,5507,84,8,104,0,177,97,5977
"Census Tract 6196, Maricopa County, Arizona",4013619600,59191,1,2042,732,36.2,2.79,315,1690,60,21,63,14,164,30,2042
"Census Tract 6197, Maricopa County, Arizona",4013619700,53699,1,4068,1509,37.6,2.68,715,3545,164,0,32,0,186,141,4068
"Census Tract 6198, Maricopa County, Arizona",4013619800,61200,1,4565,1992,36.9,2.28,1609,3255,110,10,882,0,178,130,4565
"Census Tract 6199, Maricopa County, Arizona",4013619900,103086,1,5461,2157,42.2,2.48,2310,4584,39,0,672,0,86,80,5461
"Census Tract 7, Cochise County, Arizona",4003000700,27406,1,4637,1301,26.9,3.47,409,3581,29,30,19,0,907,71,4637
"Census Tract 7, Coconino County, Arizona",4005000700,65800,1,3242,1342,34,2.41,1193,2690,17,386,14,0,56,79,3242
"Census Tract 7, Gila County, Arizona",4007000700,29054,1,1661,852,59,1.94,126,1658,1,0,0,0,0,2,1661
"Census Tract 7, Pima County, Arizona",4019000700,25805,1,4430,2303,41.1,1.91,996,3881,122,90,147,0,148,42,4430
"Census Tract 7, Pinal County, Arizona",4021000700,42819,1,3961,1372,31.8,2.88,357,3696,2,0,0,0,131,132,3961
"Census Tract 7, Yavapai County, Arizona",4025000700,36784,1,3394,1593,55,2.13,601,3255,19,1,8,0,65,46,3394
"Census Tract 7, Yuma County, Arizona",4027000700,30230,1,3948,1485,29.7,2.66,95,3129,27,39,12,0,543,198,3948
"Census Tract 715.03, Maricopa County, Arizona",4013071503,34457,1,4726,2957,76,1.55,938,4568,56,25,18,0,0,59,4726
"Census Tract 715.04, Maricopa County, Arizona",4013071504,37215,1,3496,2118,73.2,1.65,750,3430,15,0,0,51,0,0,3496
"Census Tract 715.05, Maricopa County, Arizona",4013071505,39660,1,6467,3751,70.6,1.71,1196,6199,142,35,54,0,0,37,6467
"Census Tract 715.06, Maricopa County, Arizona",4013071506,36992,1,3999,2436,73.2,1.64,1015,3817,24,0,0,0,41,117,3999
"Census Tract 715.09, Maricopa County, Arizona",4013071509,74934,1,5868,2065,39.9,2.83,1459,4618,237,13,150,14,135,701,5868
"Census Tract 715.10, Maricopa County, Arizona",4013071510,98868,1,4330,1336,44.1,3.22,1140,3638,161,38,321,0,46,126,4330
"Census Tract 715.11, Maricopa County, Arizona",4013071511,56398,1,3375,1333,38.5,2.52,643,2668,381,0,58,0,37,231,3375
"Census Tract 715.12, Maricopa County, Arizona",4013071512,87130,1,6130,2030,39.7,3.01,1204,5520,21,74,273,0,47,195,6130
"Census Tract 715.13, Maricopa County, Arizona",4013071513,96250,1,1725,614,44.5,2.79,353,1574,24,0,75,13,23,16,1725
"Census Tract 715.14, Maricopa County, Arizona",4013071514,74181,1,4525,1593,39.3,2.82,670,3919,66,59,267,0,9,205,4525
"Census Tract 715.15, Maricopa County, Arizona",4013071515,63409,1,3632,1632,47.7,2.18,853,3134,150,6,67,55,160,60,3632
"Census Tract 715.16, Maricopa County, Arizona",4013071516,35788,1,3065,1853,64.7,1.55,694,2835,134,4,38,0,30,24,3065
"Census Tract 715.17, Maricopa County, Arizona",4013071517,67644,1,3934,1380,35.9,2.83,529,3295,167,24,63,0,69,316,3934
"Census Tract 716, Maricopa County, Arizona",4013071600,25139,1,3540,1535,46.1,2.26,329,2983,122,9,0,0,294,132,3540
"Census Tract 717.01, Maricopa County, Arizona",4013071701,62670,1,3045,847,30,3.45,366,2907,20,0,60,0,26,32,3045
"Census Tract 717.02, Maricopa County, Arizona",4013071702,29945,1,3195,2105,73.3,1.52,644,3086,48,0,23,0,25,13,3195
"Census Tract 718.01, Maricopa County, Arizona",4013071801,30519,1,4857,2717,69.5,1.69,688,4630,94,7,31,0,39,56,4857
"Census Tract 718.02, Maricopa County, Arizona",4013071802,34440,1,3357,2173,72,1.54,518,3113,133,96,0,0,15,0,3357
"Census Tract 719.03, Maricopa County, Arizona",4013071903,59617,1,6897,2385,36.6,2.89,443,5870,177,18,191,0,138,503,6897
"Census Tract 719.06, Maricopa County, Arizona",4013071906,48827,1,5844,1870,32.5,3.12,616,4602,242,1,344,0,437,218,5844
"Census Tract 719.09, Maricopa County, Arizona",4013071909,41139,1,4195,1593,38.6,2.63,246,3748,75,53,186,0,0,133,4195
"Census Tract 719.10, Maricopa County, Arizona",4013071910,40176,1,7303,2354,34.5,3.09,663,6062,409,167,225,0,26,414,7303
"Census Tract 719.11, Maricopa County, Arizona",4013071911,60436,1,3450,1047,30.6,3.3,325,2577,299,0,195,0,326,53,3450
"Census Tract 719.12, Maricopa County, Arizona",4013071912,28750,1,2757,1028,32.8,2.68,175,2072,216,0,0,0,172,297,2757
"Census Tract 719.13, Maricopa County, Arizona",4013071913,35565,1,5109,1702,30.4,2.97,319,3883,611,0,86,0,198,331,5109
"Census Tract 719.14, Maricopa County, Arizona",4013071914,50737,1,3635,1007,28.8,3.58,129,2796,109,87,74,0,254,315,3635
"Census Tract 719.15, Maricopa County, Arizona",4013071915,32456,1,3666,1326,32,2.76,265,3057,238,0,17,65,241,48,3666
"Census Tract 7233.03, Maricopa County, Arizona",4013723303,,1,26,13,,2,0,26,0,0,0,0,0,0,26
"Census Tract 7233.04, Maricopa County, Arizona",4013723304,44472,1,4073,1387,37.5,2.94,265,3687,108,30,0,0,166,82,4073
"Census Tract 7233.05, Maricopa County, Arizona",4013723305,33649,1,2918,874,30.5,3.34,186,2296,18,454,18,0,115,17,2918
"Census Tract 7233.06, Maricopa County, Arizona",4013723306,27083,1,5050,27,34.3,2.48,178,3849,692,260,24,0,78,147,5050
"Census Tract 7233.07, Maricopa County, Arizona",4013723307,92346,1,2438,807,37,3.02,552,2124,35,44,70,26,0,139,2438
"Census Tract 7233.08, Maricopa County, Arizona",4013723308,82415,1,7046,2458,42.2,2.87,1785,6032,305,72,186,0,279,172,7046
"Census Tract 8, Cochise County, Arizona",4003000800,30338,1,4320,1570,33,2.72,450,2812,30,0,259,0,1051,168,4320
"Census Tract 8, Coconino County, Arizona",4005000800,28670,1,5232,1687,23.3,2.73,672,3725,168,899,17,40,187,196,5232
"Census Tract 8, Gila County, Arizona",4007000800,37546,1,1790,755,47.8,2.35,233,1760,0,9,3,0,0,18,1790
"Census Tract 8, Pima County, Arizona",4019000800,44250,1,1793,825,37.7,2.16,536,1168,57,70,39,0,302,157,1793
"Census Tract 8, Yuma County, Arizona",4027000800,41559,1,4981,1965,31.8,2.46,564,4416,186,56,104,0,167,52,4981
"Census Tract 8.01, Pinal County, Arizona",4021000801,48739,1,12170,4519,44.3,2.64,1408,11093,183,517,74,0,212,91,12170
"Census Tract 8.01, Yavapai County, Arizona",4025000801,45333,1,3771,1920,55.6,1.93,1280,3502,67,38,49,0,30,85,3771
"Census Tract 8.02, Pinal County, Arizona",4021000802,64044,1,4126,1400,45.7,2.64,644,3734,21,7,60,177,42,85,4126
"Census Tract 8.02, Yavapai County, Arizona",4025000802,38843,1,3341,1701,57.2,1.96,979,3176,53,0,46,0,23,43,3341
"Census Tract 8.03, Pinal County, Arizona",4021000803,54102,1,11770,341,37.4,2.52,247,8603,1306,570,86,31,974,200,11770
"Census Tract 8100, Maricopa County, Arizona",4013810000,108350,1,1879,649,38.5,2.9,715,1269,97,0,370,0,61,82,1879
"Census Tract 8101, Maricopa County, Arizona",4013810100,110899,1,6545,2321,46.2,2.8,2728,5434,152,0,579,81,214,85,6545
"Census Tract 8102, Maricopa County, Arizona",4013810200,89236,1,3326,1339,37.4,2.48,1165,2353,136,39,524,0,132,142,3326
"Census Tract 8103, Maricopa County, Arizona",4013810300,57459,1,5902,2356,33.9,2.49,1512,4445,225,0,385,0,173,674,5902
"Census Tract 8104, Maricopa County, Arizona",4013810400,75387,1,4867,1855,35.5,2.61,1562,3457,391,94,491,0,141,293,4867
"Census Tract 8105, Maricopa County, Arizona",4013810500,78242,1,5235,2036,35.9,2.57,1735,4119,353,78,444,0,173,68,5235
"Census Tract 8106, Maricopa County, Arizona",4013810600,80575,1,6739,2547,37.3,2.64,1957,5500,253,63,686,140,41,56,6739
"Census Tract 8107, Maricopa County, Arizona",4013810700,62708,1,7191,2727,30.8,2.63,1605,4756,744,14,905,0,538,234,7191
"Census Tract 8108, Maricopa County, Arizona",4013810800,82325,1,4701,1710,33.6,2.74,1673,3761,41,63,549,9,60,218,4701
"Census Tract 8109, Maricopa County, Arizona",4013810900,68630,1,5655,2177,37.1,2.6,1641,4336,490,13,524,42,132,118,5655
"Census Tract 8110, Maricopa County, Arizona",4013811000,103667,1,2885,970,37.3,2.97,752,2527,18,0,73,0,102,165,2885
"Census Tract 8111, Maricopa County, Arizona",4013811100,69583,1,2363,861,33.3,2.74,716,1891,66,40,300,0,14,52,2363
"Census Tract 8112, Maricopa County, Arizona",4013811200,60791,1,2840,1242,27.8,2.27,851,1684,315,117,330,0,110,284,2840
"Census Tract 8113, Maricopa County, Arizona",4013811300,90357,1,3020,1006,34.2,3,807,2434,62,12,308,0,95,109,3020
"Census Tract 8114, Maricopa County, Arizona",4013811400,86592,1,5309,1845,39.7,2.85,1209,4705,121,45,252,0,40,146,5309
"Census Tract 8115, Maricopa County, Arizona",4013811500,88173,1,2484,821,36.8,3.03,731,1743,257,0,330,0,109,45,2484
"Census Tract 8116, Maricopa County, Arizona",4013811600,81103,1,4138,1448,35.3,2.84,927,3134,226,1,411,0,154,212,4138
"Census Tract 8117, Maricopa County, Arizona",4013811700,58258,1,4659,1703,37.2,2.73,862,3941,202,47,146,118,95,110,4659
"Census Tract 8118, Maricopa County, Arizona",4013811800,95221,1,2200,769,40.2,2.85,765,1389,192,1,543,0,25,50,2200
"Census Tract 8119, Maricopa County, Arizona",4013811900,86821,1,6099,2087,37.2,2.92,1903,4773,130,32,745,16,197,206,6099
"Census Tract 8120, Maricopa County, Arizona",4013812000,46708,1,3950,1405,28.3,2.81,796,2973,130,37,503,0,42,265,3950
"Census Tract 8121, Maricopa County, Arizona",4013812100,85728,1,6022,2101,36.4,2.86,1548,4253,569,22,775,0,42,361,6022
"Census Tract 8122, Maricopa County, Arizona",4013812200,98812,1,7564,2546,35.4,2.95,2704,6022,160,142,1142,0,21,77,7564
"Census Tract 8123, Maricopa County, Arizona",4013812300,81438,1,4725,1689,33.1,2.8,1399,3684,365,20,497,0,21,138,4725
"Census Tract 8124, Maricopa County, Arizona",4013812400,77288,1,3757,1150,28.8,3.26,1000,2927,65,37,216,17,113,382,3757
"Census Tract 8125, Maricopa County, Arizona",4013812500,108387,1,2614,714,30.7,3.66,834,1639,188,17,687,0,10,73,2614
"Census Tract 8126, Maricopa County, Arizona",4013812600,93173,1,4156,1808,43.6,2.29,1660,3393,347,128,191,0,13,84,4156
"Census Tract 8127, Maricopa County, Arizona",4013812700,108774,1,5886,2096,33,2.8,2209,4462,226,6,635,0,241,316,5886
"Census Tract 8128, Maricopa County, Arizona",4013812800,80959,1,4586,1387,36.5,3.3,1491,3298,111,15,859,0,88,215,4586
"Census Tract 8129, Maricopa County, Arizona",4013812900,114054,1,2644,946,38.4,2.79,1028,1936,81,13,384,0,77,153,2644
"Census Tract 8130, Maricopa County, Arizona",4013813000,98977,1,3878,1425,47.3,2.72,1482,3038,57,7,612,29,0,135,3878
"Census Tract 8131, Maricopa County, Arizona",4013813100,118571,1,2316,670,36.6,3.46,841,1557,34,7,586,0,48,84,2316
"Census Tract 8132, Maricopa County, Arizona",4013813200,133866,1,4334,1131,35.5,3.83,1666,3125,98,2,853,0,25,231,4334
"Census Tract 8133, Maricopa County, Arizona",4013813300,133261,1,5601,1630,37.1,3.43,1725,4244,40,252,765,0,189,111,5601
"Census Tract 8134, Maricopa County, Arizona",4013813400,116908,1,3734,1222,38.4,3.04,1400,2857,158,0,455,0,188,76,3734
"Census Tract 8135, Maricopa County, Arizona",4013813500,136172,1,3462,873,29.9,3.96,947,2941,115,41,267,7,6,85,3462
"Census Tract 8136, Maricopa County, Arizona",4013813600,128750,1,3344,999,38.6,3.34,1195,2655,137,13,314,3,26,196,3344
"Census Tract 8137, Maricopa County, Arizona",4013813700,55536,1,2423,1375,72.5,1.76,879,2346,32,0,27,0,18,0,2423
"Census Tract 8138, Maricopa County, Arizona",4013813800,37964,1,2635,1715,73.9,1.54,705,2604,0,0,20,0,0,11,2635
"Census Tract 8139, Maricopa County, Arizona",4013813900,84120,1,5712,1846,35.5,3.09,1327,4300,564,0,196,66,111,475,5712
"Census Tract 8140, Maricopa County, Arizona",4013814000,58403,1,2416,1195,65.5,2.02,647,2399,0,8,0,0,0,9,2416
"Census Tract 8141, Maricopa County, Arizona",4013814100,102619,1,5995,1618,29.4,3.71,1446,4729,177,0,334,28,284,443,5995
"Census Tract 8142, Maricopa County, Arizona",4013814200,96250,1,2524,938,42.4,2.69,934,1950,141,0,212,0,91,130,2524
"Census Tract 8143, Maricopa County, Arizona",4013814300,88500,1,4256,1384,37.4,3.07,1066,3463,293,136,248,0,18,98,4256
"Census Tract 8144, Maricopa County, Arizona",4013814400,78640,1,4890,1646,34.8,2.97,1170,4208,115,30,435,6,8,88,4890
"Census Tract 8145, Maricopa County, Arizona",4013814500,79570,1,5290,1685,32.5,3.13,1288,4338,350,0,328,0,84,190,5290
"Census Tract 8146, Maricopa County, Arizona",4013814600,78421,1,4728,1586,34.1,2.98,1107,3868,100,27,310,0,278,145,4728
"Census Tract 8147, Maricopa County, Arizona",4013814700,80878,1,4520,1386,32.1,3.26,1048,3772,518,0,119,0,54,57,4520
"Census Tract 8148, Maricopa County, Arizona",4013814800,70196,1,6784,2093,25.6,3.24,1187,5840,251,0,274,0,53,366,6784
"Census Tract 8149, Maricopa County, Arizona",4013814900,79609,1,2838,982,37.6,2.89,567,2444,20,30,76,0,151,117,2838
"Census Tract 8150, Maricopa County, Arizona",4013815000,122756,1,4297,1229,38.1,3.49,1210,3790,141,3,199,8,6,150,4297
"Census Tract 8151, Maricopa County, Arizona",4013815100,96754,1,4439,1424,29.6,3.12,1329,3630,42,174,178,27,168,220,4439
"Census Tract 8152, Maricopa County, Arizona",4013815200,77288,1,7419,2585,31.1,2.87,1781,6600,274,36,339,0,20,150,7419
"Census Tract 8153, Maricopa County, Arizona",4013815300,130068,1,4400,1099,30.6,3.99,1265,3682,84,68,359,0,118,89,4400
"Census Tract 8154, Maricopa County, Arizona",4013815400,76828,1,7509,2407,29.4,3.12,1816,6096,284,125,591,0,185,228,7509
"Census Tract 8155, Maricopa County, Arizona",4013815500,78911,1,5410,2149,33.8,2.52,1692,4093,155,0,1086,0,0,76,5410
"Census Tract 8156, Maricopa County, Arizona",4013815600,87799,1,5315,1623,31.4,3.27,1170,4002,445,140,624,22,0,82,5315
"Census Tract 8157, Maricopa County, Arizona",4013815700,90610,1,5738,1810,34.7,3.17,1395,5220,73,106,126,0,25,188,5738
"Census Tract 8158, Maricopa County, Arizona",4013815800,71352,1,5402,1645,28.3,3.28,1247,4847,137,24,151,0,96,147,5402
"Census Tract 8159, Maricopa County, Arizona",4013815900,107967,1,6867,1921,33.2,3.57,1672,5219,168,153,892,0,150,285,6867
"Census Tract 8160, Maricopa County, Arizona",4013816000,112750,1,10663,2752,30.2,3.87,2567,8996,476,45,612,14,154,366,10663
"Census Tract 8161, Maricopa County, Arizona",4013816100,84152,1,7674,2029,26.4,3.78,1475,6820,262,25,144,10,100,313,7674
